FL,FR,RL,RR
78.065361,83.532761,52.850224,56.551655
78.065361,83.532761,52.850224,56.551655
78.065361,83.532761,52.850224,56.551655
78.295456,83.778976,52.620129,56.305443
78.295456,83.778976,52.620129,56.305443
78.295456,83.778976,52.620129,56.305443
78.525551,84.025185,52.390034,56.059227
78.755638,84.271385,52.159946,55.813034
78.755638,84.271385,52.159946,55.813034
78.985733,84.517601,51.929848,55.566818
79.215836,84.763809,51.699753,55.320610
79.445923,85.010010,51.469658,55.074406
79.048485,85.407448,51.212177,55.331886
79.277428,85.654808,50.983231,55.084522
78.878845,86.053391,50.726906,55.340851
79.106644,86.301910,50.499111,55.092342
79.106644,86.301910,50.499111,55.092342
78.878845,86.053391,50.726906,55.340851
78.878845,86.053391,50.726906,55.340851
78.651047,85.804886,50.954697,55.589367
78.651047,85.804886,50.954697,55.589367
79.048485,85.407448,51.212177,55.331886
79.277428,85.654808,50.983231,55.084522
79.676018,85.256218,51.239567,54.828190
79.906113,85.502441,51.009472,54.581982
80.305855,85.102692,51.264652,54.326801
80.074600,84.857635,51.495895,54.571861
80.074600,84.857635,51.495895,54.571861
79.843353,84.612579,51.727142,54.816917
79.843353,84.612579,51.727142,54.816917
79.612122,84.367523,51.958385,55.061977
79.612122,84.367523,51.958385,55.061977
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
78.423264,85.556374,51.182484,55.837875
78.423264,85.556374,51.182484,55.837875
78.423264,85.556374,51.182484,55.837875
78.423264,85.556374,51.182484,55.837875
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
79.612122,84.367523,51.958385,55.061977
79.612122,84.367523,51.958385,55.061977
79.612122,84.367523,51.958385,55.061977
79.612122,84.367523,51.958385,55.061977
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
79.215836,84.763809,51.699753,55.320610
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
78.819550,85.160095,51.441116,55.579243
79.048485,85.407448,51.212177,55.331886
79.048485,85.407448,51.212177,55.331886
78.878845,86.053391,50.726906,55.340851
78.878845,86.053391,50.726906,55.340851
79.106644,86.301910,50.499111,55.092342
79.106644,86.301910,50.499111,55.092342
79.106644,86.301910,50.499111,55.092342
79.277428,85.654808,50.983231,55.084522
79.277428,85.654808,50.983231,55.084522
79.277428,85.654808,50.983231,55.084522
79.277428,85.654808,50.983231,55.084522
79.445923,85.010010,51.469658,55.074406
79.445923,85.010010,51.469658,55.074406
79.612122,84.367523,51.958385,55.061977
79.612122,84.367523,51.958385,55.061977
79.380867,84.122459,52.189632,55.307030
79.149620,83.877403,52.420879,55.552101
78.525551,84.025185,52.390034,56.059227
78.295456,83.778976,52.620129,56.305443
78.065361,83.532761,52.850224,56.551655
78.295456,83.778976,52.620129,56.305443
